asin,sku,product_name,avg_price,cogs
B0DPBHKHV7,GGRTNW222910-CA,PGA TOUR 10 Piece Orange Set RH,0.0,81.7
B0DPBKJGVK,GGRTNW21176-CA,PGA TOUR 6 Piece Blue Set RH,0.0,55.69
B0DS6JC25Y,GGLTNW22265-CA,PGA TOUR 5 Piece Green Set New LH,0.0,41.86
B0CQKQ3VRK,GGLFTSS222910-CA,PGA TOUR 10 Piece Orange Set LH,0.0,81.7
B0CQKP7332,GGLFTSS222810-CA,PGA TOUR 10 Piece Blue Set LH,0.0,81.2
B0B2SL7HBQ,GGAZSS2121BM,PGA TOUR 7 Piece Orange Set RH Orig,0.0,64.3
B0B2SBQ2R7,GGAZSS2229BM-FBM,PGA TOUR 10 Piece Orange Set RH,0.0,81.7
B0B2SHX1BB,GGRTNW222810-FBA,PGA TOUR 10 Piece Blue Set RH,0.0,81.2
B0FCJZJMWJ,GGRTNW21196-CA,PGA TOUR 6 Piece Orange Set RH,0.0,56.19
B0B2SKZ38L,GGAZSS2240BM,PGA TOUR Orange 3 Piece Set LH,0.0,13.280000000000001
B0DPBGG8GY,GGRTNW222810-CA,PGA TOUR 10 Piece Blue Set RH,0.0,81.2
B0B2YLNSV2,GGAZSS2235BM-FBM,PGA TOUR 3 Piece Putting Rings,0.0,10.92
B0B2YBWKL8,GGAZSS2236BM,PGA TOUR Red 3 Piece Set RH,0.0,12.59
B0B2T894VG,GGAZSS2237BM,PGA TOUR Orange 3 Piece Set RH,0.0,13.280000000000001
B0BRT8TV8H,GGWMSS2117BM,PGA TOUR 6 Piece Blue Set RH Orig,0.0,61.14
B0B2SYDXTJ,GGAZSS2241BM,PGA TOUR Green 3 Piece Set LH,0.0,15.88
B0CV6VLJYN,GG2SS2226BM-CA,PGA TOUR 5 Piece Green Set New RH,0.0,41.86
B0B2SLTZNG,GGAZSS2238BM,PGA TOUR Green 3 Piece Set RH,0.0,15.88
B0B2Z3L3H4,GGAZSS2234BM,PGA TOUR 3 Piece Chipping Net,0.0,14.600000000000001
B0DC1TJ21F,GGP1X2000,PGA TOUR P1 Extreme 17 Piece Set,0.0,244.58
B0B9CCPBHV,GGWMSS2230BM,PGA TOUR Driver Orange RH,0.0,30.96
B0B2SFX1V7,GGAZSS2122BM,PGA TOUR 7 Piece Blue Set RH Orig,0.0,65.11
B0FCCY94RG,GGWIREP1,PGA TOUR PW Iron Orange RH,0.0,10.69
B0BC9YT1XV,GG7IREP,PGA TOUR 7 Iron Orange RH,0.0,10.69
B0BC9PWZV5,GGWMSS2233BM,PGA TOUR Grey Carry Bag,0.0,25.09
B0B2SKB7ND,GGAZSS2239BM,PGA TOUR Red 3 Piece Set LH,0.0,12.59
B0FCCXM3SB,GG9IREP1,PGA TOUR 9 Iron Orange RH,0.0,10.69
B0BF13CW1W,GGWMSS2223BM,PGA TOUR Set of 36 Ombre Foam Balls,0.0,14.96
B0DS6L39MG,GGRTNW21165-CA,PGA TOUR 5 Piece Red Set New RH,0.0,41.910000000000004
B0B2YYRGWP,GGAZSS2105BM-stickerless,PGA TOUR Bullseye Target,0.0,11.09
B0BC9W1LSY,GGWMSS2232BM,PGA TOUR Putter Orange RH,0.0,15.860000000000001
B0FDQX5235,GGWMSS2104BM,PGA TOUR Set of 2 Targets/Flags,0.0,4.86
B0BCM44YQV,,PGA TOUR Set of 48 white foam balls,0.0,14.96
B0BCKX95M1,GGWMSS2224BM,PGA TOUR Set of 48 red foam balls,0.0,14.96
B0BCKWL8YW,,PGA TOUR Set of 48 Color Foam Balls ,0.0,14.96
B0BCL19RF1,,PGA TOUR Set of 12 White XL White Foam Balls ,0.0,9.42
B0BF1BV58R,,PGA TOUR Set of 2 Bullseye Targets,0.0,22.18
B0BRT7G2MK,,PGA TOUR Set of 12 5” Targets,0.0,8.2
B0B2Z2PS78,GGAZSS2106BM,PGA TOUR Kornhole Game,0.0,12.38
B0FH1N5271,,PGA TOUR Set of 12 TU Sticky Practice Balls,0.0,10.290000000000001
B0F1H6ZXX6,,B0F1H6ZXX6,0.0,
B0FFPJG7MV,,PGA TOUR Dual Sided Bullseye Targets,0.0,11.09
B0CQKQZFCH,GGLFTSS222710,PGA TOUR 10 Piece Red Set LH,0.0,80.53
B0D18KXQL9,,PGA TOUR Kornhole Game,0.0,12.38
B0FFN9N8NZ,,Open Stock Clubs Parent ASIN,0.0,
B0D18ML686,,B0D18ML686,0.0,
B0FFPJGCRG,,P1 Extreme Parent ASIN,0.0,
B0DVLMJWM9,,Orange/Blue Parent ASIN,0.0,
B0CRGRTQLD,,B0CRGRTQLD,0.0,
B0BF19CCZY,,PGA TOUR Set of 2 Kornhole Games,0.0,24.76
B0DXN7HVTY,,B0DXN7HVTY,0.0,
B0BLP8QCW5,GGWMSS2101BMC-FBM,PGA TOUR Sticky Practice Balls S/4,0.0,3.43
B0C6RJT2LR,GGWMSS222707,PGA TOUR 7 Piece Red Set RH Orig,0.0,64.0
B0BTQ6QC55,,PGA TOUR TU 3Pc Parent ASIN,0.0,
B0FCCY8GBM,GGREPP1PTR1,PGA TOUR P1 Extreme Full Mallet Putter by GolfGen – Oversized Grip | PVD Finish,0.0,5.0
B0B2SGCMP9,GGAZSS2227BM,PGA TOUR 8 Piece Red Set RH Orig,0.0,3.91
B0B2SDT1HW,GGAZSS2116BM,PGA TOUR 5 Piece Red Set RH Orig,0.0,42.34
B0GLJ2H43K,,B0GLJ2H43K,0.0,
B0GND743RM,,Red/Green Parent ASIN,0.0,
B0BH781V46,,B0BH781V46,0.0,
B0B2Y89HQV,GGAZSS2226BM,PGA TOUR 5 Piece Green Set RH Orig,0.0,42.28
B0C6RJXJD7,GGWMSS222710,PGA TOUR 10 Piece Red Set RH Orig,0.0,80.53
