asin,sku,product_name,color,brand,series,product_type,piece_count,orientation,category,unit_cost,fba_stock,ly_aur,ly_revenue,ly_units,ly_profit,planned_annual_units,list_price,sale_price,referral_pct,coupon_type,coupon_value,carton_pack,carton_length,carton_width,carton_height,carton_weight,division,customer
B0CV6VLJYN,GG2SS2226BM,PGAT G1 RH 5pc Green Golf Club Set Junior Sets,Green,PGAT,G1,Golf Club Set,5,RH,Junior Clubs,0,124,120.57,447318.7,3710,135102.84,3710,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0DS6JC25Y,GGLTNW22265,PGAT G1 LH 5pc Green Golf Club Set Clubs,Green,PGAT,G1,Golf Club Set,5,LH,Junior Clubs,0,54,123.05,187274.5,1522,46544.22,1522,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2Y89HQV,GGWMSS2226BM,PGAT G1 RH 5pc Green Golf Club Set Junior Sets,Green,PGAT,G1,Golf Club Set,5,RH,Junior Clubs,0,0,0.0,0.0,0,0.0,0,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0DPBGG8GY,GGRTNW222810,PGAT G1 RH 10pc Blue Golf Club Set Clubs,Blue,PGAT,G1,Golf Club Set,10,RH,Junior Clubs,0,0,228.76,525002.57,2295,154433.09,2470,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2SHX1BB,GGWMSS222810,PGAT G1 RH 10pc Blue Golf Club Set Clubs,Blue,PGAT,G1,Golf Club Set,10,RH,Junior Clubs,0,0,223.29,35725.73,160,6089.28,160,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0CQKP7332,GGLFTSS222810,PGAT G1 LH 10pc Blue Golf Club Set Clubs,Blue,PGAT,G1,Golf Club Set,10,LH,Junior Clubs,0,13,227.14,141736.35,624,34477.48,624,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0DPBKJGVK,GGRTNW21176,PGAT G1 RH 6pc Blue Golf Club Set Clubs,Blue,PGAT,G1,Golf Club Set,6,RH,Junior Clubs,0,164,139.46,194966.14,1398,-2452.13,1398,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0BRT8TV8H,GGWMSS2117BM,PGAT G1 RH 6pc Blue Golf Club Set Junior Sets,Blue,PGAT,G1,Golf Club Set,6,RH,Junior Clubs,0,28,161.6,6463.9,40,-331.63,115,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0C6RJXJD7,GGWMSS222710,PGAT G1 RH 10pc Red Golf Club Set Junior Sets,Red,PGAT,G1,Golf Club Set,10,RH,Junior Clubs,0,11,214.17,159770.65,746,28236.08,746,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0DS6L39MG,GGRTNW21165,PGAT G1 RH 5pc Red Golf Club Set Clubs,Red,PGAT,G1,Golf Club Set,5,RH,Junior Clubs,0,117,119.6,197455.83,1651,50137.74,1651,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0C6RJT2LR,GGWMSS222707,PGAT G1 RH 7pc Red Golf Club Set Junior Sets,Red,PGAT,G1,Golf Club Set,7,RH,Junior Clubs,0,1,147.33,17090.48,116,1268.92,116,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0CQKQZFCH,GGLFTSS222710,PGAT G1 LH 10pc Red Golf Club Set Clubs,Red,PGAT,G1,Golf Club Set,10,LH,Junior Clubs,0,2,219.55,67841.88,309,11593.02,309,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2SGCMP9,GGWMSS222708,PGAT G1 RH 8pc Red Golf Club Set Junior Sets,Red,PGAT,G1,Golf Club Set,8,RH,Junior Clubs,0,0,155.16,4499.71,29,2090.34,29,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0B2SDT1HW,GGWMSS2116BM,PGAT G1 RH 5pc Red Golf Club Set Junior Sets,Red,PGAT,G1,Golf Club Set,5,RH,Junior Clubs,0,25,0.0,0.0,0,0.0,0,0,0,15.0,,0,1,0,0,0,0,golf,amazon
B0DPBHKHV7,GGRTNW222910,PGAT G1 RH 10pc Orange Golf Club Set Clubs,Orange,PGAT,G1,Golf Club Set,10,RH,Junior Clubs,0,0,229.7,581835.11,2533,142561.57,2602,0,0,15.0,,0,1,0,0,0,0,golf,amazon
